study_region,population,genetic_region,gnomad_labeled_subpop,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
EUR,GBR,EUR,gbr,-0.12578,-0.24774,-0.019454,0.084224,-0.011884,-0.0012548,-0.060939,-0.018647,-0.0017283,0.0063747,-0.0036866,0.0073253,-0.0010103,0.0090797,-0.0086376,-0.012316,0.00942,-0.012093,-0.0017596,0.0026827
EUR,GBR,EUR,gbr,-0.126,-0.24707,-0.017057,0.086622,-0.010138,0.005294,-0.059246,-0.017177,-0.0032765,-0.003018,0.0028564,0.006609,-0.00099648,0.0073524,-0.0056382,-0.004713,0.0024573,-0.0048611,-0.007825,0.0055703
EUR,GBR,EUR,gbr,-0.12443,-0.24729,-0.022543,0.081816,-0.0082434,0.0018152,-0.062343,-0.01951,-0.0023126,-0.0025261,-0.0007279,0.0043904,0.0012682,0.0055801,-0.0045505,-0.01528,0.007976,-0.0043613,-0.004687,0.00092238
EUR,GBR,EUR,gbr,-0.12178,-0.24901,-0.019759,0.085827,-0.01133,0.00042749,-0.052337,-0.01823,-0.004743,0.0042765,-0.0011082,0.01471,-0.0018619,0.0064322,-0.0049782,-0.012713,-0.0010538,-0.0053633,0.0013844,0.0023329
EUR,GBR,EUR,gbr,-0.12408,-0.24418,-0.02025,0.088697,-0.0073478,4.9573e-05,-0.060425,-0.020177,0.0014153,-0.0012522,-0.0005715,0.012814,-0.00086756,0.0025863,-0.005719,-0.0076936,0.002326,-0.0077984,0.00077508,0.0044859
EUR,GBR,EUR,gbr,-0.12622,-0.24659,-0.019783,0.084926,-0.0080289,0.0014138,-0.071726,-0.021178,-0.00032538,-0.0043895,0.0014163,0.01516,-0.0060988,0.0057377,-0.0055117,-0.010986,0.0051039,-0.010458,0.0040134,0.006836
EUR,GBR,EUR,gbr,-0.12456,-0.24875,-0.019222,0.089334,-0.0092894,0.0046016,-0.058519,-0.020986,-0.0024455,-0.0048837,-0.00036684,0.015629,-0.002177,0.0053465,-0.0015532,-0.009417,0.0023942,-0.0086164,0.0045475,0.0020112
EUR,GBR,EUR,gbr,-0.12306,-0.24502,-0.021321,0.086482,-0.0043761,-0.00051011,-0.061377,-0.020438,-0.0015031,-0.00099716,-0.0013045,0.013829,-0.0015674,0.0067977,0.0015989,-0.0074531,0.001911,-0.0074594,-0.0039888,0.0057828
EUR,GBR,EUR,gbr,-0.12571,-0.24537,-0.019958,0.079867,-0.0054071,0.003068,-0.05458,-0.0216,0.001522,-0.0042037,-0.0063972,0.0057661,0.0026362,0.0053953,-0.00050163,-0.0041324,0.0071984,-0.016474,0.0049283,0.0022846
EUR,GBR,EUR,gbr,-0.12501,-0.24417,-0.022984,0.085471,-0.0094905,0.0030305,-0.059051,-0.021308,-0.00064489,-0.0045556,-0.0031844,0.0057609,-0.0001279,0.0070749,-0.0039921,-0.011052,0.0027107,-0.0049156,-0.00089379,0.00032908
EUR,GBR,EUR,gbr,-0.12337,-0.24491,-0.022084,0.086415,-0.0063837,0.0021084,-0.065737,-0.023698,0.00035588,-0.0053003,0.0011464,0.0059143,-0.0044726,0.014302,-0.0033174,-0.012106,-0.0011162,-0.012007,-0.0057044,0.0037706
EUR,GBR,EUR,gbr,-0.12437,-0.24477,-0.017591,0.090989,-0.0061452,9.9632e-05,-0.052144,-0.019957,-0.0013739,0.0068284,0.0017879,0.011977,-0.0028712,0.010599,-0.0014407,-0.011501,0.0057585,-0.0094855,-0.0033895,0.0055271
EUR,GBR,EUR,gbr,-0.12679,-0.24705,-0.018195,0.087663,-0.007444,0.003877,-0.063641,-0.020061,-0.00038865,0.006465,0.0038599,0.00076399,0.0019276,0.0066485,-0.0047303,-0.0022491,0.0044797,-0.0025224,-0.0041747,0.003359
EUR,GBR,EUR,gbr,-0.12338,-0.24552,-0.018267,0.082887,-0.0084489,-0.00014441,-0.068142,-0.022421,0.0017841,-0.0015267,-0.0019405,0.0089487,-0.0036385,0.0052669,-0.0053099,-0.014512,0.0065993,-0.0043482,-0.0020946,0.0094104
EUR,GBR,EUR,gbr,-0.12723,-0.24312,-0.01699,0.084059,-0.008435,0.0048708,-0.06004,-0.019813,-0.003397,-0.0068579,-0.000144,0.014958,-0.0047228,0.0009516,-0.0023227,-0.015261,0.0037549,-0.0052332,-0.00086563,0.0016897
EUR,GBR,EUR,gbr,-0.12456,-0.24709,-0.017432,0.088298,-0.0084112,-0.0020869,-0.060629,-0.020184,-0.0053074,0.00087653,-0.0022489,0.0074764,-0.00095334,0.0092009,9.3106e-05,-0.0037109,0.0045375,-0.0090495,-0.0016357,0.0033759
EUR,GBR,EUR,gbr,-0.1224,-0.24193,-0.018985,0.087279,-0.0065808,0.004031,-0.061031,-0.018633,-0.0023859,-0.0025912,0.00030638,0.0082872,-0.0010266,0.0047434,-0.001805,-0.014198,0.0077666,-0.0035144,-0.0011608,-0.0044859
EUR,GBR,EUR,gbr,-0.12194,-0.24702,-0.016974,0.084467,-0.0096453,0.00090104,-0.061592,-0.021581,-0.00034956,-0.0047472,0.0028581,0.0066424,-0.0054953,0.0075652,-0.0042189,-0.008277,0.00044888,-0.012031,0.0031256,0.0013862
EUR,GBR,EUR,gbr,-0.12349,-0.24923,-0.016928,0.089476,-0.0069657,0.0054489,-0.060302,-0.02297,0.0013999,-0.0040191,0.0023125,0.0021073,0.00048896,0.00072087,-0.0062356,-0.011216,0.005576,-0.005601,-0.001345,0.0047965
EUR,GBR,EUR,gbr,-0.12584,-0.24363,-0.019553,0.084207,-0.0064602,0.00011019,-0.05802,-0.021434,-0.0032818,0.00085845,-0.0017998,0.010013,0.0022156,0.0071832,0.0002213,-0.010213,-0.00025339,-0.0049641,0.00043096,0.0032358
EUR,GBR,EUR,gbr,-0.12548,-0.24628,-0.021184,0.082792,-0.0071446,0.0033019,-0.058181,-0.023226,0.0017463,0.0017846,-0.0019552,0.00719,-0.0023619,0.0041844,-0.0039749,-0.008842,0.0074864,-0.011341,0.0018085,-0.00012695
EUR,GBR,EUR,gbr,-0.1229,-0.24471,-0.01963,0.087818,-0.0063118,0.0024471,-0.06565,-0.02134,-0.0018506,-0.00066854,0.0020582,0.0084204,-0.003224,0.0010212,-0.0020085,-0.0071257,0.0031415,-0.0049099,0.003749,1.4378e-05
EUR,GBR,EUR,gbr,-0.1213,-0.24759,-0.020958,0.085028,-0.0037797,0.0021092,-0.057534,-0.01789,0.00067289,0.0039556,0.0004118,0.0068532,0.0029018,0.0028732,0.0004663,-0.00796,0.0073963,-0.0030681,-0.0038396,0.0030843
EUR,GBR,EUR,gbr,-0.12621,-0.24962,-0.01913,0.084517,-0.0060275,0.0040986,-0.065214,-0.021738,-0.00096077,-6.4802e-06,0.00067319,0.0064711,7.2936e-05,0.006417,-0.0066965,-0.013397,0.0072081,-0.0048672,-0.0040325,0.0036449
EUR,GBR,EUR,gbr,-0.12504,-0.24652,-0.024045,0.085847,-0.0078106,0.0024539,-0.060961,-0.018798,-0.00092046,0.0059373,0.0038811,0.0084537,-0.0018939,0.005425,-0.0024612,-0.0046675,-0.00049899,-0.012854,0.0059191,0.0018187
EUR,GBR,EUR,gbr,-0.12367,-0.24612,-0.016343,0.08246,-0.0088425,0.0046434,-0.068595,-0.017572,-0.0027754,0.0023361,0.0018428,0.013689,-0.0023241,0.0052839,-0.0063245,-0.011286,0.0060972,-0.012348,-0.0013129,0.0033827
EUR,GBR,EUR,gbr,-0.12347,-0.24366,-0.023012,0.084487,-0.0088552,0.0033555,-0.062622,-0.018961,-0.0037746,-0.0027826,0.0031591,0.010101,0.00081394,0.0063627,-0.0082258,-0.013036,-0.0017077,-0.0079375,0.0075607,0.0036471
EUR,GBR,EUR,gbr,-0.12422,-0.24847,-0.015074,0.087362,-0.010424,0.0036111,-0.055058,-0.020806,-0.0010484,0.0092835,-0.0029392,0.009491,-0.00031136,-0.00046849,-0.0051771,-0.01785,0.00098087,-0.015072,-0.0073913,0.0041015
EUR,GBR,EUR,gbr,-0.12757,-0.2492,-0.019031,0.087171,-0.011042,0.0032563,-0.04926,-0.02151,0.00072065,-0.00037357,-0.0010937,0.016506,-0.002845,0.0012257,-0.0020484,-0.00091419,0.0036706,-0.0060767,-0.0045357,-0.002369
EUR,GBR,EUR,gbr,-0.12345,-0.24984,-0.013622,0.088791,-0.0081816,0.0017346,-0.04834,-0.019392,-0.00157,0.0013435,-0.0044078,0.0061076,-0.00055807,0.0017547,-0.0055428,-0.0093025,0.0056899,-0.0037937,-0.00022805,0.0098375
EUR,GBR,EUR,gbr,-0.12347,-0.24833,-0.020574,0.087242,-0.010285,0.0032688,-0.056322,-0.01415,0.002229,0.0045776,0.00047428,0.0073738,-0.00129,0.0023967,-0.0011769,-0.0079763,0.00053936,-5.9415e-05,0.0040622,0.0024343
EUR,GBR,EUR,gbr,-0.12219,-0.24769,-0.015796,0.087674,-0.011316,-0.0013687,-0.04584,-0.016181,0.00064794,0.0029397,-0.0015735,0.013325,-0.0032664,0.0087881,-0.0010686,-0.0071866,0.0028577,-0.010527,3.7337e-06,0.008515
EUR,GBR,EUR,gbr,-0.11874,-0.24414,-0.017759,0.085426,-0.0037985,0.0039651,-0.053029,-0.015899,0.00053031,0.0025168,0.0041639,0.006574,-0.0015313,0.0040897,-0.0071051,-0.0087734,0.0025739,0.00078838,-0.0017101,0.0036635
EUR,GBR,EUR,gbr,-0.12222,-0.24757,-0.013437,0.084947,-0.0092896,2.8863e-05,-0.049969,-0.014235,-0.00091503,0.0070858,-0.0032409,0.0085532,-0.0015323,-0.0045042,-0.0014871,-0.0001187,0.0084035,-0.0050159,0.0019324,0.0064608
EUR,GBR,EUR,gbr,-0.12062,-0.25041,-0.014328,0.083722,-0.0088305,0.00061732,-0.05065,-0.020372,-0.0023663,0.003296,-0.007235,0.012395,0.0015525,0.0043791,-0.0026425,-0.0097476,0.00053207,-0.0036873,-0.0016909,0.0033323
EUR,GBR,EUR,gbr,-0.12362,-0.24474,-0.018103,0.088195,-0.0084211,0.00066708,-0.050781,-0.021086,-0.00057416,-0.0005494,0.00014146,0.010949,-0.0044401,0.0019409,0.0011623,-0.012502,-0.0033977,-0.0017455,0.0049594,0.0057958
EUR,GBR,EUR,gbr,-0.12241,-0.25014,-0.016179,0.089436,-0.0072654,0.0038756,-0.056223,-0.019422,0.0003904,0.0062126,0.00057984,0.013771,-0.0026458,0.0043845,-0.0016697,-0.0085723,0.0081757,-0.0086414,-0.0029542,0.009139
EUR,GBR,EUR,gbr,-0.1229,-0.24917,-0.020355,0.091257,-0.01302,0.0055371,-0.051332,-0.017531,0.001141,0.0054705,-0.0042416,0.0077659,0.00066633,0.0008946,-0.0025202,-0.015824,0.0035764,-0.011979,0.0016862,0.0082911
EUR,GBR,EUR,gbr,-0.12098,-0.25018,-0.01705,0.09446,-0.0099921,0.0015727,-0.050408,-0.014437,0.0026736,0.0073145,0.00091584,0.01436,-0.00088248,0.0061508,-0.0047239,-0.0077573,0.0066031,0.0025142,0.0025394,0.0069065
EUR,GBR,EUR,gbr,-0.12626,-0.24631,-0.015581,0.085847,-0.0095105,0.0011762,-0.05623,-0.015926,-0.0039179,-0.00083371,3.7464e-06,0.008625,0.0012585,0.0042302,-0.0019356,-0.012717,0.0071169,-0.012006,-8.9e-05,-0.0020277
EUR,GBR,EUR,gbr,-0.12738,-0.24914,-0.021583,0.085776,-0.0085395,0.0037611,-0.057818,-0.019317,0.00096183,-0.0059557,-0.0044028,0.0067449,0.0021417,0.0087934,0.00077551,-0.007976,0.0015014,-0.0073101,-0.00074833,-0.0012734
EUR,GBR,EUR,gbr,-0.12262,-0.24779,-0.012394,0.088436,-0.0025826,0.0038435,-0.047173,-0.019505,-0.0038706,0.00034747,-0.00016327,0.0068496,-0.00082472,0.0057242,-0.0041319,-0.0053728,-0.0014063,-0.0006943,0.00053341,0.008755
EUR,GBR,EUR,gbr,-0.12064,-0.25,-0.015944,0.088485,-0.0095022,-0.0044683,-0.050409,-0.014137,-0.0020544,0.0012334,0.00014283,0.001249,-0.0036429,0.010107,-0.0027567,-0.0087813,0.0055441,-0.0089008,-0.00022234,0.001262
EUR,GBR,EUR,gbr,-0.12453,-0.24383,-0.017061,0.082391,-0.010867,0.0010956,-0.045513,-0.016975,-0.0034029,-0.005858,-0.0025279,0.0093934,0.00079921,0.0025498,-0.00071829,-0.011165,0.001758,-0.0082664,0.0016172,0.0041195
EUR,GBR,EUR,gbr,-0.1239,-0.25015,-0.017809,0.089421,-0.012316,0.0017139,-0.051648,-0.027192,-0.0020023,0.00030497,-0.0026092,0.00027776,0.00011404,0.0063492,-0.0024906,-0.0045405,0.0019891,-0.0023602,0.0042075,0.0053167
EUR,GBR,EUR,gbr,-0.1246,-0.2481,-0.018584,0.088172,-0.0076095,0.0029639,-0.047141,-0.023847,0.00034521,0.0016752,0.0015737,0.0031002,-0.0014517,0.0037172,0.00028875,-0.0078041,0.00053553,-0.0047377,-0.0073766,0.010727
EUR,GBR,EUR,gbr,-0.12019,-0.24926,-0.020259,0.090252,-0.0077414,0.003709,-0.052125,-0.020333,5.4361e-05,0.0029134,-0.0010246,0.0087551,-0.0010804,0.0095407,-0.0041165,-0.0068328,-0.0033087,-0.0030254,0.005628,-0.0060697
EUR,GBR,EUR,gbr,-0.12398,-0.24703,-0.01934,0.088266,-0.0095113,0.0049026,-0.052179,-0.019285,0.00013811,0.00033617,-0.0050654,0.0048444,0.0012551,0.0084504,-0.0051574,-0.008977,0.0014132,-0.00052886,0.0046254,0.0073092
EUR,GBR,EUR,gbr,-0.12062,-0.24316,-0.020948,0.084015,-0.011606,0.0016134,-0.052337,-0.020173,-0.0023982,0.0015578,0.003931,0.0033813,0.0021556,0.0033508,-0.00022114,-0.014036,0.0062024,-0.0050046,0.0025893,-0.0028426
EUR,GBR,EUR,gbr,-0.12555,-0.24316,-0.021231,0.087272,-0.0084297,0.00051417,-0.057894,-0.021037,0.0010359,-0.0027803,-0.00050009,0.0068861,-0.0015204,0.0066398,-0.00093067,-0.0068068,0.0064939,-0.0066024,0.0014179,0.0050996
EUR,GBR,EUR,gbr,-0.12258,-0.24718,-0.016494,0.090503,-0.011197,8.6431e-05,-0.051154,-0.019799,-0.00072499,0.003889,-0.001379,0.0063523,0.0028519,0.0043641,-0.00078186,-0.009705,0.010128,2.9164e-05,0.00076636,0.00023141
EUR,GBR,EUR,gbr,-0.12128,-0.24466,-0.024057,0.084162,-0.0070176,0.0017454,-0.054917,-0.017015,0.00065952,-0.0060497,-0.0024711,0.016655,-0.0015968,0.0036417,-0.0051957,-0.011668,0.005148,-0.005464,-0.0041154,0.002807
EUR,GBR,EUR,gbr,-0.12395,-0.2471,-0.019614,0.085803,-0.0099947,0.0012061,-0.051736,-0.021636,0.00046452,0.0013076,-0.0001466,0.012957,0.0016341,0.0050058,-0.0020226,-0.013159,0.0032585,-0.009434,0.0034986,0.0016014
EUR,GBR,EUR,gbr,-0.12664,-0.24802,-0.017447,0.09083,-0.01275,0.003384,-0.05383,-0.017512,-0.0027888,4.4728e-05,-0.0049309,0.011919,-0.0063657,-0.0028979,0.00075036,-0.010172,0.0052202,-0.00034759,-0.0026779,0.00082417
EUR,FIN,EUR,fin,-0.13836,-0.20201,-0.033442,0.07537,-0.009609,0.0046596,-0.14058,-0.012767,-0.0043437,-0.03629,0.046612,-0.061578,0.0080988,-0.0060103,-0.0011653,-0.0077169,-0.024396,0.072671,0.0014979,-0.011343
EUR,FIN,EUR,fin,-0.13754,-0.20822,-0.031678,0.078557,-0.0051635,0.0015023,-0.13296,-0.019215,-0.0055315,-0.030231,0.04188,-0.057722,0.01539,-0.002511,-0.00097303,-0.013905,-0.024927,0.068377,0.0015292,-0.0048175
EUR,FIN,EUR,fin,-0.12958,-0.21959,-0.028106,0.084555,-0.010589,0.0031967,-0.10895,-0.016601,-0.0066136,-0.025353,0.028373,-0.040649,0.0086094,0.0030249,-0.0022781,-0.010005,-0.014631,0.048527,-0.0021223,0.0019897
EUR,FIN,EUR,fin,-0.13561,-0.20288,-0.028509,0.078764,-0.014793,0.0046147,-0.1291,-0.015134,-0.0055417,-0.034972,0.046229,-0.064979,0.010037,-0.0023739,-0.0034781,-0.010949,-0.03074,0.067698,0.0015776,-0.0071521
EUR,FIN,EUR,fin,-0.13435,-0.19868,-0.02836,0.075197,-0.008856,0.0043376,-0.12791,-0.0093998,-0.0062609,-0.036778,0.043223,-0.067484,0.013698,0.00037266,-0.0028029,-0.0083103,-0.024937,0.062428,0.0044577,-0.0085286
EUR,FIN,EUR,fin,-0.13492,-0.21025,-0.026848,0.081076,-0.013276,0.00082793,-0.12831,-0.014395,-0.0030732,-0.025583,0.037595,-0.052684,0.0083815,-0.00065566,0.0002539,-0.0051179,-0.018858,0.06021,-0.0082043,-0.0040725
EUR,FIN,EUR,fin,-0.13229,-0.20623,-0.027553,0.077747,-0.0054919,0.0026513,-0.12646,-0.012306,-0.0084819,-0.029786,0.037492,-0.057617,0.010816,-0.0046867,0.0032999,-0.0090617,-0.025935,0.057704,0.0040877,-0.0020039
EUR,FIN,EUR,fin,-0.13592,-0.20543,-0.027291,0.081948,-0.0092054,0.0029982,-0.12344,-0.01404,-0.0048178,-0.033003,0.041002,-0.058474,0.0088144,-0.005403,-0.0015445,-0.011664,-0.025783,0.056685,-0.010358,-0.00087396
EUR,FIN,EUR,fin,-0.12247,-0.21131,-0.016523,0.078725,-0.0087727,0.0035203,-0.076206,-0.0022347,0.0020191,-0.026658,0.028996,-0.042426,0.010429,-0.0069345,0.0035932,-0.0068238,-0.021433,0.04194,-0.0050565,-0.00065595
EUR,FIN,EUR,fin,-0.13282,-0.20011,-0.031116,0.076162,-0.0076649,0.0034287,-0.13119,-0.010509,-0.0043961,-0.036548,0.043222,-0.064376,0.0074426,-0.0039556,0.0014803,-0.0089886,-0.031728,0.067027,-0.0090685,-0.009437
EUR,FIN,EUR,fin,-0.13525,-0.20382,-0.025575,0.072562,-0.01098,0.00314,-0.13272,-0.014214,-0.0097079,-0.031014,0.044227,-0.062989,0.010917,-0.0042897,-0.0034882,-0.012538,-0.029996,0.072612,-0.00022655,-0.0015655
EUR,FIN,EUR,fin,-0.13276,-0.20278,-0.025522,0.07569,-0.00808,0.0043289,-0.13788,-0.014449,-0.0039169,-0.040518,0.047345,-0.061215,0.0091422,-0.0015507,1.0555e-05,-0.0069686,-0.023853,0.066892,-0.0013698,-0.0084886
EUR,FIN,EUR,fin,-0.13516,-0.20805,-0.032443,0.081158,-0.013811,0.0053245,-0.13326,-0.014978,-0.0056951,-0.031694,0.047541,-0.067708,0.010597,-0.0036085,0.00067009,-0.0042874,-0.034814,0.075687,-0.0083047,-0.010171
EUR,FIN,EUR,fin,-0.13245,-0.1978,-0.030942,0.079761,-0.0058684,0.0022631,-0.13556,-0.0073756,-0.0034788,-0.037002,0.051137,-0.070915,0.0096627,-0.001248,-2.7719e-05,-0.0049204,-0.035969,0.07434,-0.0096162,-0.0043129
EUR,FIN,EUR,fin,-0.1352,-0.21156,-0.028229,0.080491,-0.012447,0.00019571,-0.12428,-0.014736,-0.0042398,-0.028461,0.039865,-0.055174,0.0056807,-0.0038397,0.0033082,-0.0093871,-0.024305,0.069645,-0.0049889,-0.0083644
EUR,FIN,EUR,fin,-0.13207,-0.20453,-0.027341,0.08004,-0.0092887,0.0027502,-0.12215,-0.020597,-0.0076344,-0.024159,0.03368,-0.050431,0.0057392,-0.00025571,0.0020487,-0.004688,-0.022399,0.053615,0.00050057,-0.0037597
EUR,FIN,EUR,fin,-0.13258,-0.21375,-0.023483,0.078214,-0.0066832,0.0041359,-0.11393,-0.017493,-0.0068838,-0.028545,0.03153,-0.041797,0.0091804,0.00069261,0.00071762,-0.011053,-0.022763,0.045679,-0.003073,-0.0093858
EUR,GBR,EUR,gbr,-0.12285,-0.24812,-0.019765,0.087006,-0.0053099,0.004026,-0.042431,-0.019535,-0.0018012,0.0012228,0.00048635,0.015088,-0.0056381,0.0045969,-0.0029585,-0.001074,0.0034448,-0.005993,0.00034686,0.0034767
EUR,GBR,EUR,gbr,-0.12299,-0.25246,-0.018395,0.08187,-0.008186,0.0022804,-0.04927,-0.013865,-0.001624,3.9946e-05,-0.0017609,0.010139,-0.00087558,0.0078073,0.0038586,-0.0097262,0.0024371,-0.010249,0.0053539,0.0047195
EUR,GBR,EUR,gbr,-0.123,-0.25,-0.017537,0.088334,-0.010264,0.0013712,-0.046985,-0.019622,-0.0020558,-0.0015534,-0.0050242,0.014735,-0.0054844,0.0019787,-0.0074363,-0.0066306,0.0019749,-0.0085246,0.0020831,-0.0025758
EUR,GBR,EUR,gbr,-0.12535,-0.24984,-0.014299,0.088358,-0.014622,-7.9473e-05,-0.05217,-0.019353,-0.0017159,0.004313,-0.0038245,0.01137,-0.002944,0.0064791,0.002154,-0.01411,0.0047089,-0.0092811,-0.00092646,0.0049278
EUR,GBR,EUR,gbr,-0.12212,-0.24754,-0.017316,0.085863,-0.0084061,0.00097196,-0.053461,-0.018412,-0.0022634,0.00032054,1.8777e-05,0.0085638,0.00078092,0.0094318,-5.9195e-05,-0.0094231,0.0055823,-0.0097836,-0.0062018,0.0022082
EUR,GBR,EUR,gbr,-0.11814,-0.24735,-0.021123,0.091095,-0.0079059,0.0038047,-0.054527,-0.017206,-0.0036963,0.0068042,-0.0041319,0.0084852,-0.00076616,0.0034092,-0.00041004,-0.0084613,0.0047136,-0.002395,0.00523,0.0077784
EUR,GBR,EUR,gbr,-0.12042,-0.24622,-0.016263,0.087062,-0.0047,0.0011585,-0.05116,-0.02154,-0.0033953,0.0015154,-0.0040824,0.010403,0.0053232,0.0015471,-0.001576,-0.0079541,-0.00050905,-0.0057339,-0.0018344,-0.0016403
EUR,GBR,EUR,gbr,-0.12492,-0.24221,-0.018411,0.082403,-0.010573,0.0012376,-0.045344,-0.016202,-0.00013284,0.00053493,-0.0031586,0.011819,0.0001225,0.0030549,-0.0011116,-0.0041498,0.0043614,-0.0063882,-0.00023872,0.0045757
EUR,GBR,EUR,gbr,-0.12178,-0.24969,-0.017639,0.086915,-0.0086126,-0.00068459,-0.056359,-0.017218,-0.0013691,0.0035059,-0.0034467,0.008948,-0.0018619,0.0019626,-0.0051354,-0.015141,0.0074148,-0.0069854,-0.00097307,0.0042484
EUR,GBR,EUR,gbr,-0.12354,-0.24547,-0.018896,0.084553,-0.0073809,0.0011329,-0.051394,-0.020117,-0.0014876,0.0056392,-0.0016242,0.0062879,8.2883e-05,0.0033262,-0.0036339,-0.010676,0.0015848,-0.0078784,-0.0014904,0.0061957
EUR,GBR,EUR,gbr,-0.12175,-0.24557,-0.021126,0.085181,-0.0075579,0.0017281,-0.052181,-0.022474,-0.0058635,0.0053213,-0.00029166,0.0069735,-0.0041304,-0.0050754,-0.0040364,-0.0095175,0.0062794,-0.012084,0.0031246,0.00094961
EUR,GBR,EUR,gbr,-0.12129,-0.25063,-0.022338,0.083022,-0.0068491,0.0019529,-0.055513,-0.018095,-0.0040038,-0.00027972,-0.0030503,0.0098007,-0.00071832,0.0076852,-0.0060288,-0.0078531,0.0047566,-0.01022,0.004231,0.0092095
EUR,GBR,EUR,gbr,-0.1249,-0.24761,-0.018743,0.086238,-0.010037,0.00061444,-0.04198,-0.022047,0.0043575,0.0042227,-0.0064622,0.011985,-0.0058817,0.0049821,-0.00054595,-0.0049893,0.010325,-0.009047,-0.0073256,0.00082218
EUR,GBR,EUR,gbr,-0.12101,-0.24529,-0.017635,0.08628,-0.0086081,0.0024258,-0.052888,-0.018709,-0.00058616,0.0011129,-0.0067831,0.0096588,-0.0023773,0.0071388,-0.0019231,-0.0049831,0.0045787,-0.00264,0.0008596,0.0079946
EUR,GBR,EUR,gbr,-0.12236,-0.2476,-0.016467,0.08373,-0.013408,0.00051102,-0.048087,-0.022399,0.0025289,0.00059641,-0.0070953,0.0099034,-0.0003572,0.0068859,-0.00243,-0.0027649,0.012193,-0.0083608,0.0020201,-0.005933
EUR,GBR,EUR,gbr,-0.12449,-0.24765,-0.016495,0.087156,-0.0087867,0.0012584,-0.051598,-0.0194,-0.0039684,0.0011702,-0.00014681,0.0057327,-0.0031608,0.0031108,-0.0032736,-0.011583,0.0076137,-0.001483,-0.00030109,0.0055576
EUR,GBR,EUR,gbr,-0.1233,-0.2464,-0.017031,0.079856,-0.0096663,0.0043668,-0.046608,-0.014783,-0.00044591,-0.0002206,-0.0012056,0.012532,-0.0035302,0.003905,-0.0024607,-0.0080524,0.0084421,-0.013236,0.0025861,-0.0012131
EUR,GBR,EUR,gbr,-0.12555,-0.24501,-0.017201,0.088981,-0.0049411,0.0017781,-0.054167,-0.018401,0.001032,0.0013548,-0.0025122,0.0097102,0.0026069,0.0087311,0.00020245,-0.0057973,0.0030553,-0.0095263,0.0025953,0.0026297
EUR,GBR,EUR,gbr,-0.12328,-0.2465,-0.018864,0.088543,-0.0093418,0.0019891,-0.050993,-0.019834,0.0008531,0.0095931,-0.006114,0.011497,-0.0017744,0.0094083,-0.001894,-0.0082284,0.0032769,-0.0073478,0.0030032,0.0046568
EUR,GBR,EUR,gbr,-0.12101,-0.24764,-0.019696,0.086964,-0.011746,0.00082738,-0.048182,-0.026404,0.00081004,0.0054865,-0.0020302,0.01186,-0.0011704,0.001668,-0.0017141,-0.0056613,0.0023934,-0.012188,0.0053025,0.00019899
EUR,GBR,EUR,gbr,-0.1226,-0.24567,-0.018023,0.085818,-0.0054201,0.0043991,-0.055335,-0.018222,-0.00040558,-0.0059934,-0.0013313,0.007572,-0.00039625,-0.00060298,-0.0012902,-0.010333,0.0012809,-0.012441,0.0041247,0.00053094
EUR,GBR,EUR,gbr,-0.12416,-0.24741,-0.014132,0.088342,-0.0050871,0.0061897,-0.055232,-0.01945,0.003735,0.0044608,-0.0038021,0.013625,-0.0021532,0.0086027,-0.0026255,-0.0039712,0.0014105,-0.011962,-6.3221e-05,0.0066053
EUR,GBR,EUR,gbr,-0.12075,-0.2497,-0.018949,0.085137,-0.0073441,0.0010657,-0.053221,-0.016238,-0.00077146,0.0016936,-0.00017786,0.0061005,-0.0048451,0.0061174,-0.0033911,-0.0064558,0.0022623,-0.0093497,0.002605,0.0030398
EUR,GBR,EUR,gbr,-0.12438,-0.24779,-0.020325,0.094959,-0.010325,0.0032522,-0.051345,-0.019211,-0.00025138,0.0034434,-0.0031494,0.010673,0.00084065,0.0032904,-0.0048497,-0.005222,0.0015612,-0.0025305,-0.00081117,0.0015839
EUR,GBR,EUR,gbr,-0.12208,-0.24831,-0.019151,0.092607,-0.0096558,0.00022593,-0.048032,-0.021521,-0.0051428,0.0015957,-0.006624,0.013845,-0.0024283,0.0026175,-0.00086623,-0.0057542,0.0090322,-0.008291,-0.0013404,0.0076777
EUR,GBR,EUR,gbr,-0.12355,-0.2476,-0.021643,0.087333,-0.0085494,0.00011019,-0.051693,-0.019808,-0.0019022,-0.0013151,0.0014819,0.0045382,-0.0002062,0.0065792,0.00038276,-0.0075097,0.0010342,-0.0064337,-0.0017703,-0.0036503
EUR,GBR,EUR,gbr,-0.12273,-0.25187,-0.018912,0.092618,-0.010114,0.0015721,-0.047221,-0.013783,0.0013293,0.015181,-0.0068898,0.013507,-0.0021051,0.0038682,0.00014564,-0.0058368,0.0036792,-0.007225,-0.0020348,0.0058878
EUR,GBR,EUR,gbr,-0.12662,-0.25424,-0.017708,0.086932,-0.0091522,0.0039627,-0.052854,-0.020529,-0.0029084,0.0037375,-0.0069537,0.010816,0.0019448,0.0094418,0.0032039,-0.010733,0.0067556,-0.0072651,0.0014947,0.012099
