study_region,population,genetic_region,gnomad_labeled_subpop,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
America,Maya,AMR,maya,-0.16122,0.12772,-0.40429,-0.204,0.001649,0.0011306,0.0087365,-0.0077771,-0.004415,-0.00438,-0.0016453,-0.0023383,-0.0012851,-0.036686,-0.0060011,-0.010683,-0.0068485,0.0048823,-0.001814,-0.00029233
America,Maya,AMR,maya,-0.19624,0.13232,-0.41649,-0.21216,0.00038619,-0.001165,0.0047541,-0.0096173,-0.0015591,-0.010247,0.0060377,0.0026462,-0.00010469,-0.021417,-0.0017312,-0.0066789,-0.0020898,0.0096923,-0.008202,-0.0014521
America,Maya,AMR,maya,-0.18655,0.13329,-0.42103,-0.20876,0.0042011,0.0012966,0.0086238,-0.0057487,-0.002343,-0.0068273,0.0028878,0.00018104,0.00026886,-0.025864,-0.0016689,-0.01328,-0.0043438,0.0057962,-0.00017926,-0.0008393
America,Maya,AMR,maya,-0.16439,0.097433,-0.36595,-0.17588,0.0010293,-0.0013004,0.0099841,-0.0063,-0.00030874,-0.0026115,0.0024388,0.002118,-0.00043952,-0.022768,0.0013712,-0.0004175,-0.0044019,0.0056083,-0.0062419,-0.0017453
America,Maya,AMR,maya,-0.17306,0.082328,-0.35863,-0.16875,0.00096667,-0.0039428,0.0094085,-0.011953,-0.00059866,-0.0029022,-0.00046362,-0.00052891,-0.0010715,-0.02595,-0.00054231,-0.011631,-0.0045925,0.0051187,-0.0055751,-0.0048691
America,Maya,AMR,maya,-0.19635,0.1256,-0.41113,-0.20126,0.00054071,0.00074118,0.0045423,-0.0031425,-0.00036388,-9.626e-05,0.0015671,0.0010865,-0.0014796,-0.039588,0.0010656,-0.012193,-0.0038727,0.0071216,-0.00066654,0.0013438
America,Maya,AMR,maya,-0.15846,0.040839,-0.32082,-0.13601,0.0029278,-0.0022849,0.015497,-0.0043664,0.0016247,0.0074999,0.005968,-0.00034312,-0.00082255,-0.025555,0.0019049,-0.000649,-0.0079918,0.003034,-0.0031537,0.0027556
America,Maya,AMR,maya,-0.18606,0.12725,-0.41346,-0.209,0.00051078,-0.00099793,0.0046288,-0.0062613,0.0013653,-0.005953,0.0074756,0.0021036,-0.0014509,-0.033513,0.0023216,-0.012647,-0.0077819,0.0032656,-0.0006839,0.0041462
America,Maya,AMR,maya,-0.1917,0.12876,-0.41895,-0.21784,0.0001362,0.0020766,0.0053286,-0.0073699,-0.0018783,-0.0072745,0.0019968,-0.0013525,0.0012907,-0.025468,-0.00046903,-0.0090794,-0.00212,0.0046476,-0.0016082,-0.0012687
America,Maya,AMR,maya,-0.16736,0.12041,-0.39684,-0.19806,0.0027039,-3.911e-05,0.0047961,-0.0091658,-0.0047009,-0.0066277,0.0028304,-0.00090417,0.0026754,-0.035479,0.0001672,-0.0085341,0.00027203,0.0021989,-0.0088539,0.00056959
